name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF01432,q5,inferredtree,-28820.0591,57,57754.1183,57766.2282,58005.1220,14,12,46.05278942060001
PF01432,q4,inferredtree,-26838.7280,78,53833.4559,53856.9302,54176.9347,18,12,34.5869612691
PF01432,q1,inferredtree,-25518.8817,59,51155.7634,51168.7781,51415.5743,16,0,27.533409874999993
PF01432,q2,inferredtree,-25852.4381,77,51858.8763,51881.7128,52197.9515,16,2,26.267689914600002
PF01432,q3,optimizedtruetree,-26185.4858,77,52524.9716,52547.8081,52864.0468,0,16,21.7871523663
PF01432,q3,inferredtree,-26165.6380,77,52485.2761,52508.1126,52824.3513,16,0,21.662579678500006
PF01432,poisson,inferredtree,-27896.0073,57,55906.0145,55918.1244,56157.0183,14,6,16.9938232727
PF01432,q2,optimizedtruetree,-25876.2172,77,51906.4344,51929.2709,52245.5096,0,16,26.16069545400001
PF01432,poisson,optimizedtruetree,-27916.0606,57,55946.1212,55958.2311,56197.1249,0,16,17.107758314099996
PF01432,q4,optimizedtruetree,-26871.7311,78,53899.4621,53922.9364,54242.9409,0,16,34.5220240303
PF01432,pogofit,optimizedtruetree,-25346.7361,58,50809.4721,50822.0299,51064.8794,0,16,23.75947324460001
PF01432,pogofit,inferredtree,-25342.9183,58,50801.8366,50814.3944,51057.2439,10,6,23.909596446299993
PF01432,q1,optimizedtruetree,-25528.8689,59,51175.7377,51188.7525,51435.5486,0,16,27.41283959459999
PF01432,q5,optimizedtruetree,-28849.8330,57,57813.6660,57825.7759,58064.6697,0,16,46.55242627470001
PF02852,poisson,inferredtree,-20479.2417,199,41356.4833,120956.4833,41943.2866,86,96,44.96127471339997
PF02852,q2,optimizedtruetree,-18661.7098,219,37761.4197,134121.4197,38407.1981,0,84,62.26588090559999
PF02852,q5,inferredtree,-20871.0666,200,42142.1333,122542.1333,42731.8853,84,106,92.55362862519993
PF02852,q4,inferredtree,-19384.0505,219,39206.1011,135566.1011,39851.8795,82,62,64.54892743020004
PF02852,pogofit,optimizedtruetree,-18051.5068,200,36503.0136,116903.0136,37092.7656,0,84,62.32785551879999
PF02852,q1,inferredtree,-18224.6238,200,36849.2475,117249.2475,37438.9995,84,0,63.059512375399976
PF02852,q2,inferredtree,-18592.3271,219,37622.6543,133982.6543,38268.4327,88,64,61.72581909070001
PF02852,q3,inferredtree,-18941.5697,220,38323.1394,135563.1394,38971.8665,88,62,88.76727779499998
PF02852,q3,optimizedtruetree,-19022.6457,220,38485.2915,135725.2915,39134.0186,0,84,90.93776229149995
PF02852,pogofit,inferredtree,-17984.9743,200,36369.9487,116769.9487,36959.7007,78,44,64.0398097434
PF02852,q1,optimizedtruetree,-18292.9157,200,36985.8314,117385.8314,37575.5833,0,84,53.44090947040001
PF02852,q5,optimizedtruetree,-20980.0250,200,42360.0500,122760.0500,42949.8020,0,84,93.04935411700005
